"URL","NOMBRE","DESCRIPCION","EMPRESA","LUGAR DE TRABAJO","PUBLICADO","TIPO CONTRATO","AREA"
"https://www.zonajobs.com.ar/empleos/desarrollador-java-1882322.html?indiceAviso=5","Desarrollador JAVA","-Industria de la empresa: Publicidad / Marketing / RRPP-Horario: Full-time-Lugar de trabajo: Palermo –CABA -Descripción del puesto:Orientamos la búsqueda a un perfil Ssr de desarrollo Java donde sus principales responsabilidades serán el Desarrollo de sitios web y el desarrollo de apps web. Experiencia de no menos de dos tres años experiencia en Java 8 para aplicaciones web.Haber trabajado con repositorios GIT.Experiencia de dos años en javascript J query. Nociones básicas de CSS. Requerimientos:Inglés avanzado. EXCLUYENTE -Beneficios:Swiss Medical como cobertura médica para el empleado y el grupo familiar directo (cónyuges y/o concubinos e hijos). · Política de Home Working una vez a la semana previo acuerdo con tu líder. · 2 Días MRM libres al año. · Clases de inglés in Company ( se abona un co pago). · Descuentos en gimnasios. · Descuento en Box de Crossfit. · Descuento en restoranes y heladerías de la zona. · Plan Anual de Capacitación interno. · Acceso libre a Lynda.com con más de 2000 cursos. · Frutas y medialunas. · Descuento en todos los cursos de Educación IT Digital House y IT Master. · Sala de break con Play Room con ping pong y metegol. · Infusiones libres. -Existe la posibilidad de viajar trabajo en una multinacional americana. Interactuar con Oficinas del exterior principalmente USA.

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Confidencial","Capital Federal Buenos Aires","Publicado hace 3 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/desarrollador-.net-ssr-fegma-recruitment-1882649.html?indiceAviso=6","Desarrollador .NET Ssr","-Participar en el desarrollo y adaptación de nuestros software.-Analizar y Desarrollar adaptaciones o funcionalidades nuevas para Alexia* -Mantener la suite Alexia* haciendo ampliaciones funcionales mejoras y corrigiendo fallos. -Documentar las soluciones desarrolladas las integraciones realizadas y en general todas las actividades que impacten en la arquitectura  despliegue y mantenimiento. -Desarrollar en el marco de un equipo ágil dentro del equipo de desarrollo -Codificar funcionalidad en diferentes tecnologías -Desarrollar pruebas unitarias para componentes de software -Participar en reuniones de análisis refinamiento planning reviews y retrospectivas con clientes. 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Fegma Recruitment","Capital Federal Buenos Aires","Publicado hace 3 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/desarrollador-a-java-aliantec-1889656.html?indiceAviso=7","Desarrollador/a Java","Para Fintech argentina que desarrolla productos innovadores para el sector financiero local estamos buscando un Desarrollador/a Java.Si te gustaría formar parte de un equipo de profesionales expertos en disciplinas como IT Data-Science Estadística Finanzas Economía Sociología y Compliance donde se trabaja en un clima excelente y se ofrece Relación de dependencia directa… Postulate ahora!La empresa ofrece:Pre-paga para el empleado y grupo familiar.Posibilidad de coordinar Home Office.Horarios flexibles.Responsabilidades:Llevar adelante tareas de programación desarrollo y mejoras de los distintos sistemas propios de la empresa.Desarrollo de nuevas herramientas y participación en las migraciones del sistema.Participar en tareas de arquitectura y estructura de datos.Requerimientos:Experiencia programando en Java de 3 a 5 años (excluyente).Experiencia en Spring Boot y Hibernate (excluyente).SQL y bases de datos en general (PostgreSQL) (excluyente).Conocimientos en diseño de algoritmos y estructura de datos (excluyente).Ser estudiante avanzado o ya recibido de carreras afines a Sistemas que quiera participar de equipos dinámicos y que haya trabajado bajo metodologías ágiles.Conocimiento en Neo4j (deseable).Conocimiento sobre programación HTML 5 JavaScript jQuery AJAX (deseable).Conocimientos en lenguaje de programación PHP (deseable).Experiencia en el uso de Git (workflows branching y merging) es un plus.Valoramos conocimiento de servicios cloud AWS y uso de contenedores DockerEs deseable tener conocimientos en Bootstrap AngularJS u otra tecnología JS.Horario Laboral: Lunes a viernes de 9 – 18 hs.Zona de trabajo: Microcentro Ciudad de Buenos Aires.Si esta posición es de tu interés postulate en nuestra web aliantec.com ó seguinos en Linkedin Twitter Facebook e Instagram y enterate de nuestras últimas ofertas laborales.

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Aliantec","Capital Federal Buenos Aires","Publicado hace 5 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/analista-programador-vb.net-6-aliantec-1889653.html?indiceAviso=8","Analista Programador VB.NET/6","Importante empresa argentina con protagonismo en el negocio de la carne a nivel nacional e internacional siendo uno de los principales abastecedores de carne vacuna en el mercado argentino está en búsqueda de un Analista Programador VB.NET/6 ¿serás vos?Se espera que puedas:Participar en la fase de diseño además del desarrollo y mantenimiento del ERP de la compañía.Programar código de calidad aprendiendo y creciendo continuamente en el ámbito profesional y personal.Para lo cual es requisito:Contar con al menos 1 año de experiencia en programación con VB6 y/o VB .NET (excluyente).Dominio de SQL Server (excluyente).Estar graduado o finalizando carrera universitaria afín.Experiencia en herramietas de reporting como Crystal Reports (deseable).Experiencia utilizando Web Services SOAP (deseable).Se valorará experiencia en desarrollo de aplicaciones orientadas a dispositivos móviles (Windows Embedded HandHeld).La empresa ofrece:Relación de dependencia directa.Comedor en planta.Horario flex.Excelente clima laboral.Horario Laboral: Lunes a Viernes en un rango de 9 a 18 hs. o de 8 a 17 hs.Zona de trabajo: La Plata Bs. As.Si esta posición es de tu interés postulate en nuestra web aliantec.com ó seguinos en Linkedin Twitter Facebook e Instagram y enterate de nuestras últimas ofertas laborales.

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Aliantec","La Plata Buenos Aires","Publicado hace 5 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/desarrollador-.net-senior-acudir-sa-1889575.html?indiceAviso=9","Desarrollador .NET Senior","Nos encontramos en la búsqueda de un Desarrollador .NET SeniorSus principales tareas serán: - Mantener en forma eficiente las soluciones actuales de software. Implementar nuevas soluciones que el negocio solicite respetando siempre las mejores prácticas calidad y eficiencia sin impactar la operación. Proponer soluciones de vanguardia y garantizar la eficiente integración entre los sistemas.- Desarrollo y Mantenimiento Correctivo/Evolutivo de sistemas actuales y futuros.- Desarrollo respetando las mejores prácticas de integración y seguridad.- Ejecutar los estándares de diseño desarrollo testeos y documentación.- Utilizar eficientemente la herramienta de gestión de desarrollo definida.- Alertar en forma temprana potenciales riesgos. Los principales requisitos del puesto son: -       Graduado o Estudiante de Ingeniería o Licenciatura en sistemas.-       Al menos 5 años de experiencia en tecnologías .Net-       Net Framework de 4.0 a 4.7 + SQL.-       SQL Net core 2.0 Angular Java Script C# ASP.NET Web API VJS BOOTSTRAP XAMARIN-      Conocimientos básicos de infraestructura Ofrecemos:- Excelentes condiciones de contratación- Home Office- Día de cumpleaños- Oportunidades de desarrollo- Excelente clima laboral

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","ACUDIR SA","Capital Federal Buenos Aires","Publicado hace 10 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/analista-tecnico-programador-aliantec-1889570.html?indiceAviso=10","Analista Técnico Programador","Si te apasiona el análisis técnico y sos programador esta posición es para vos.Empresa dedicada a brindar servicio de integración de tecnología representante de lds productos que ayudan a mejorar la experiencia de usuario frente a la comunicación de las organizaciones y digitalizar las grandes empresas…está en búsqueda de un profesional que pueda:Hacer relevamiento y análisis de requerimientos.Realizar la especificación de diseños funcionales casos de uso y prueba.Trabajar en el Diseño Desarrollo e Implementación de Proyectos y nuevas funcionalidades.Realizar Mantenimiento correctivo/evolutivo Migraciones Pruebas Documentación etc.Participar en reuniones en clientes.Realizar Parametrizaciones. y que cuente con:Experiencia en la participación de procesos de Relevamiento y Análisis para la Implementación de Proyectos de Tecnología.Experiencia en Programación C C++ Programación Web HTML jscript CSS json xml Python (Excluyente). Es altamente valorada la experiencia en el uso de herramientas de reporting como Crystal Reports Nivel Intermedio/avanzado de inglés (oral y escrito).Disponibilidad para viajar interior / exterior del país.Excelentes relaciones interpersonales y predisposición al trabajo en equipo.Estudios en curso o finalizados en carrera de Sistemas o afines. Te ofrecemos:Dentro de los primeros meses en la compañía poder certificarte en CCM.Trabajar en proyectos  de implementación en equipos de 2 a 3 personas.Utilizar metodologías Ágiles. Beneficios:Capacitación constante y certificación en nuevas tecnologías de Software.Prepaga primer nivel/Grupo familiar.Excelente ambiente de trabajo.Posibilidad de crecimiento.Flexibilidad horaria.Revisiones salariales cada 6 meses. ¡¡¡Sumate al equipo cuanto antes!!!Zona de trabajo: Palermo Ciudad de Buenos AiresHorario laboral: Lunes a Viernes de 9:00hs a 18:00hs.Si esta posición es de tu interés postulate en nuestra web aliantec.com ó seguinos en Linkedin Twitter Facebook e Instagram y enterate de nuestras últimas ofertas laborales.

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Aliantec","Capital Federal Buenos Aires","Publicado hace 10 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/analista-desarrollador-java-senior-empresa-de-seguros-caba-1889564.html?indiceAviso=11","Analista-Desarrollador JAVA Senior - Empresa de Seguros CABA","Importante empresa de seguros busca incorporar Analista-Desarrollador JAVA Senior que será responsable del desarrollo de aplicaciones basadas en servicios operando para múltiples canales en nuestras oficinas ubicadas en microcentro Capital Federal Buenos Aires.      Principales responsabilidades:• Desarrollar y velar por la calidad de los desarrollos a su cargo.• Proponer la incorporación o cambio de herramientas y procesos para optimizar la gestión del ciclo de vida de las aplicaciones a su cargo.Conocimientos y habilidades requeridas:• Profesional de carreras de Sistemas.• Buen nivel de inglés.• Manejo de Arquitecturas basadas en servicios (Excluyente).• Uso de Spring Framework y otros (Excluyente).• Manejo de Frameworks de front (aj Node Angular) y mejores prácticas en el desarrollo de sistemas (Excluyente).• Conocimientos deseables: Oracle y Websphere.• Capacidad analítica autonomía con orientación al trabajo en equipo y muy buenas habilidades de comunicación.NUESTRA OFERTA DE VALOR: • Desarrollo profesional en una empresa con espíritu emprendedor.• Un excelente clima de trabajo y Atractivo paquete de beneficios. 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Confidencial","Capital Federal Buenos Aires","Publicado hace 10 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/desarrollador-full-stack-java-vanguardia-consultores-rr.hh.-1889530.html?indiceAviso=13","Desarrollador Full Stack JAVA","BUSCAMOS PROGRAMADORES JAVA Su principal función será el Análisis Diseño Desarrollo y Mantenimiento de aplicaciones con las tecnologías que se solicitan.OFRECEMOS:Puesto en relación de dependenciaDías de HomeHorarios flexiblesInglés. 80% a cargo de la empresaBono Anual por desempeñoRefrigeriosDía de CumpleañosConstante actualización profesionalKits órdenes de compra y otros presentesBeneficios en GimnasiosDescuentos del 50% en todos los productos que comercializa la Cía CONOCIMIENTOS:Programación JAVA (JEE versión 7 o superior); Java Web (excluyente); Manejo de XML y JSON; Patrón de diseño MVC; Jasper Reports/iReports; Programación Javascript; Servicios Web SOAP y REST; IDE Eclipse; Framework JSF; Prime Faces; Git/GitHub; Angular 7/8; Spring/Spring Boot y Maven CONOCIMIENTOS DESEABLES: Proyectos que incluyan integración con Mainframes y/o Midrange; Prime Faces; IBM Portal IBM Integration Bus IBM FileNet IBM Api Connect  

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Vanguardia Consultores RR.HH.","Capital Federal Buenos Aires","Publicado hace 11 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/analista-programador-.net-zona-microcentro-caba-kaizenrh-1889525.html?indiceAviso=14","Analista Programador .Net ( zona Microcentro - CABA)","En KaizenRH buscamos Analista Programador .Net  para trabajar dentro de Compañía Multinacional para proyectos de segmento bancario corporativo. Requisitos ExcluyentesAl menos 2 años de experiencia en programación .Net  2013 o superior.2 años de experiencia en Base de datos SQL Server 2008 o superior.MVC Framework 4.5 Estudiante en carreras afines a Sistemas Informáticos.Manejo del idioma inglés intermedio - avanzado Será valorado contar con experiencia en:Javascript HTML CSS Ajax Jquery Entity Framework Flutter  Competencias personalesPredisposición para aprender.Muy Buena PresenciaExcelente trato hacia el clientePro actividadActitud para el trabajo en equipo Competencias personalesPredisposición para aprender.Muy Buena PresenciaExcelente trato hacia el clientePro actividadActitud para el trabajo en equipo Tareas:Programación sobre aplicaciones desarrolladas por la empresa.Atención de incidentes y requerimientos.Mantenimiento Evolutivo de aplicaciones  BeneficiosRelación de dependencia directa y continuidad laboral.Obra social Prepaga de Primera LíneaActualizaciones salarialesCapacitaciones técnicas funcionales y de management a cargo de la empresa.Clases de InglesFlex Time en las puntas Lugar y Horario de trabajo: Microcentro CABA. De Lunes a Viernes de 09 a 18 hs 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","KaizenRH","Capital Federal Buenos Aires","Publicado hace 11 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/desarrollador-full-stack-capital-humano-1889520.html?indiceAviso=15","Desarrollador Full Stack","Capital Humano se encuentra en la búsqueda de  Desarrolladores Full Stack para incorporarse a importante Fintech en expansión regional.  Nos orientamos a personas curiosas proactivas y dinámicas con ganas de sumarse al equipo de tecnología de la empresa participando de diferentes proyectos. Buscamos estudiantes o graduados en Ciencias de la Computación Ingeniería en Sistemas o afines (no excluyente) con experiencia previa trabajando como Full Stack con Ruby y en tecnologías Open Source ( Ruby On Rails Heroku AWS Postgresql Git New Relic).  Lugar de trabajo: Recoleta            Horario: Lunes a viernes de 9 a 18 30 hs. Se ofrecen excelentes condiciones de contratación un excelente clima laboral y trabajo en equipo. 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Capital Humano","Capital Federal Buenos Aires","Publicado hace 12 días","Full-time","Programación"
